"date","material_no","ch3_ship_to_code","volume_units","actual_sales_value"
"2021-02-25","70149001","5520898","24","2250.96"
"2021-03-25","70149001","5520898","12","1125.48"
"2021-04-15","70149001","5520898","12","1125.48"
"2020-12-30","70158202","5471692","1056","25618.56"
"2021-01-16","70158202","5471692","4944","89980.8"
"2020-12-28","70158202","5471700","3168","76855.68"
"2021-01-21","70158202","5471700","8208","149385.6"
"2021-01-30","70158202","5471700","3168","57657.6"
"2021-02-15","70158202","5471700","4224","76876.8"
"2021-02-26","70158202","5471700","1056","19219.2"
"2021-03-12","70158202","5471700","1056","19219.2"
"2021-03-22","70158202","5471700","8064","145313.28"
"2021-03-23","70158202","5471700","1056","19029.12"
"2021-03-29","70158202","5471700","6912","124554.24"
"2021-04-01","70158202","5471700","2112","38058.24"
"2021-04-19","70158202","5471700","1056","19029.12"
"2021-04-24","70158202","5471700","1056","19029.12"
"2021-04-28","70158202","5471700","1056","19029.12"
"2021-04-29","70158202","5471700","2112","38058.24"
"2021-05-20","70158202","5471700","7872","148938.24"
"2021-05-24","70158202","5471700","1056","19979.52"
"2021-05-27","70158202","5471700","7392","139856.64"
"2021-06-14","70158202","5471700","2112","39959.04"
"2021-06-21","70158202","5471700","1056","19979.52"
"2021-06-25","70158202","5471700","1056","19979.52"
"2021-07-01","70158202","5471700","1584","29969.28"
"2021-07-26","70158202","5471700","1056","18648.96"
"2021-07-27","70158202","5471700","5280","93244.8"
"2021-07-29","70158202","5471700","1056","18648.96"
"2021-08-02","70158202","5471700","1056","18648.96"
"2021-08-08","70158202","5471700","3696","65271.36"
"2021-08-12","70158202","5471700","2640","46622.4"
"2021-08-19","70158202","5471700","1056","18648.96"
"2021-08-23","70158202","5471700","1056","18648.96"
"2021-08-30","70158202","5471700","528","9324.48"
"2021-09-09","70158202","5471700","528","14520"
"2021-09-13","70158202","5471700","1584","43560"
"2021-09-17","70158202","5471700","528","10602.24"
"2021-09-20","70158202","5471700","1584","31806.72"
"2021-09-27","70158202","5471700","9408","188912.64"
"2021-09-30","70158202","5471700","1056","21204.48"
"2021-10-07","70158202","5471700","3696","74215.68"
"2021-10-15","70158202","5471700","2112","42408.96"
"2021-10-18","70158202","5471700","2112","42408.96"
"2021-10-22","70158202","5471700","1584","31806.72"
"2021-10-27","70158202","5471700","1056","21204.48"
"2021-10-29","70158202","5471700","528","10602.24"
"2021-11-16","70158202","5471700","528","14520"
"2021-11-28","70158202","5471700","3840","79219.2"
"2021-11-29","70158202","5471700","1584","32677.92"
"2021-12-06","70158202","5471700","6336","130711.68"
"2021-12-16","70158202","5471700","1056","21785.28"
"2021-12-20","70158202","5471700","1584","32677.92"
"2021-12-24","70158202","5471700","1056","21785.28"
"2021-12-27","70158202","5471700","1584","32677.92"
